Nom,Département,Code commune,Position géographique,UIC,Jour de la semaine,Horaire en jour normal,Horaire en jour férié,Type_ville,Latitude,Longitude
Grasse,Alpes-Maritimes,6069,"43.653317, 6.925524",87757724,Jeudi,07:00-20:00,09:00-16:10,Petite ville,43.653317,6.925524
Grasse,Alpes-Maritimes,6069,"43.653317, 6.925524",87757724,Vendredi,07:00-20:00,09:00-16:10,Petite ville,43.653317,6.925524
Grasse,Alpes-Maritimes,6069,"43.653317, 6.925524",87757724,Samedi,09:00-16:10,09:00-16:10,Petite ville,43.653317,6.925524
Grasse,Alpes-Maritimes,6069,"43.653317, 6.925524",87757724,Dimanche,09:00-16:10,09:00-16:10,Petite ville,43.653317,6.925524
Hyères,Var,83069,"43.108867, 6.124223",87755629,Lundi,05:40-22:00,05:40-22:00,Petite ville,43.108867,6.124223
Hyères,Var,83069,"43.108867, 6.124223",87755629,Mardi,05:40-22:00,05:40-22:00,Petite ville,43.108867,6.124223
Hyères,Var,83069,"43.108867, 6.124223",87755629,Mercredi,05:40-22:00,05:40-22:00,Petite ville,43.108867,6.124223
Hyères,Var,83069,"43.108867, 6.124223",87755629,Jeudi,05:40-22:00,05:40-22:00,Petite ville,43.108867,6.124223
Hyères,Var,83069,"43.108867, 6.124223",87755629,Vendredi,05:40-22:00,05:40-22:00,Petite ville,43.108867,6.124223
Hyères,Var,83069,"43.108867, 6.124223",87755629,Samedi,05:40-22:00,05:40-22:00,Petite ville,43.108867,6.124223
Hyères,Var,83069,"43.108867, 6.124223",87755629,Dimanche,05:40-22:00,05:40-22:00,Petite ville,43.108867,6.124223
Istres,Bouches-du-Rhône,13047,"43.5153953, 4.9804272",87753418,Lundi,06:15-13:15,Fermé,Petite ville,43.5153953,4.9804272
Istres,Bouches-du-Rhône,13047,"43.5153953, 4.9804272",87753418,Mardi,09:55-16:55,Fermé,Petite ville,43.5153953,4.9804272
Istres,Bouches-du-Rhône,13047,"43.5153953, 4.9804272",87753418,Mercredi,09:55-16:55,Fermé,Petite ville,43.5153953,4.9804272
Istres,Bouches-du-Rhône,13047,"43.5153953, 4.9804272",87753418,Jeudi,09:55-16:55,Fermé,Petite ville,43.5153953,4.9804272
Istres,Bouches-du-Rhône,13047,"43.5153953, 4.9804272",87753418,Vendredi,09:55-16:55,Fermé,Petite ville,43.5153953,4.9804272
L'Argentière Les Écrins,Hautes-Alpes,5006,"44.7909802, 6.5564162",87763557,Lundi,06:15-21:10,06:15-21:10,Petite ville,44.7909802,6.5564162
L'Argentière Les Écrins,Hautes-Alpes,5006,"44.7909802, 6.5564162",87763557,Mardi,06:15-21:10,06:15-21:10,Petite ville,44.7909802,6.5564162
L'Argentière Les Écrins,Hautes-Alpes,5006,"44.7909802, 6.5564162",87763557,Mercredi,06:15-21:10,06:15-21:10,Petite ville,44.7909802,6.5564162
L'Argentière Les Écrins,Hautes-Alpes,5006,"44.7909802, 6.5564162",87763557,Jeudi,06:15-21:10,06:15-21:10,Petite ville,44.7909802,6.5564162
L'Argentière Les Écrins,Hautes-Alpes,5006,"44.7909802, 6.5564162",87763557,Vendredi,06:15-21:10,06:15-21:10,Petite ville,44.7909802,6.5564162
L'Argentière Les Écrins,Hautes-Alpes,5006,"44.7909802, 6.5564162",87763557,Samedi,06:15-21:10,06:15-21:10,Petite ville,44.7909802,6.5564162
L'Argentière Les Écrins,Hautes-Alpes,5006,"44.7909802, 6.5564162",87763557,Dimanche,06:15-21:10,06:15-21:10,Petite ville,44.7909802,6.5564162
L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse,Vaucluse,84054,"43.917393, 5.047615",87765479,Lundi,11:15-18:20,Fermé,Petite ville,43.917393,5.047615
L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse,Vaucluse,84054,"43.917393, 5.047615",87765479,Mardi,11:15-18:20,Fermé,Petite ville,43.917393,5.047615
L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse,Vaucluse,84054,"43.917393, 5.047615",87765479,Mercredi,11:15-18:20,Fermé,Petite ville,43.917393,5.047615
L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse,Vaucluse,84054,"43.917393, 5.047615",87765479,Jeudi,11:15-18:20,Fermé,Petite ville,43.917393,5.047615
L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse,Vaucluse,84054,"43.917393, 5.047615",87765479,Vendredi,11:15-18:20,Fermé,Petite ville,43.917393,5.047615
La Brillanne - Oraison,Alpes-de-Haute-Provence,4034,"43.9247771, 5.8923199",87751271,Lundi,06:00-21:00,06:00-21:00,Petite ville,43.9247771,5.8923199
La Brillanne - Oraison,Alpes-de-Haute-Provence,4034,"43.9247771, 5.8923199",87751271,Mardi,06:00-21:00,06:00-21:00,Petite ville,43.9247771,5.8923199
La Brillanne - Oraison,Alpes-de-Haute-Provence,4034,"43.9247771, 5.8923199",87751271,Mercredi,06:00-21:00,06:00-21:00,Petite ville,43.9247771,5.8923199
La Brillanne - Oraison,Alpes-de-Haute-Provence,4034,"43.9247771, 5.8923199",87751271,Jeudi,06:00-21:00,06:00-21:00,Petite ville,43.9247771,5.8923199
La Brillanne - Oraison,Alpes-de-Haute-Provence,4034,"43.9247771, 5.8923199",87751271,Vendredi,06:00-21:00,06:00-21:00,Petite ville,43.9247771,5.8923199
La Brillanne - Oraison,Alpes-de-Haute-Provence,4034,"43.9247771, 5.8923199",87751271,Samedi,06:00-21:00,06:00-21:00,Petite ville,43.9247771,5.8923199
